text,label
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Family reunion planning: Can you bring desserts?,ham
Thanks for your purchase! Here's 15% off your next order.,ham
Road trip to the beach this weekend? I'll drive!,ham
Team meeting at 10am to discuss the Q4 project.,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Make money online! Easy system. Start now: https://confirm412.io,spam
Your magazine subscription renewal is due on Friday.,ham
Movie night this Friday! We're watching the new comedy at our place.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Concert tickets for next month are on sale now!,ham
Lonely women seeking connection. Message now: https://claimnow8360.org,spam
Game night this Saturday! Bring your favorite board games.,ham
The deadline for the report has been extended to Friday.,ham
Don't forget about Sarah's birthday party this Saturday!,ham
Movie night this Friday! We're watching the new comedy at our place.,ham
Account warning: Your bank needs verification. Click here: https://claimnow1806.biz,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Weather alert: heavy rain expected in your area tonight.,ham
Weather alert: heavy rain expected in your area tonight.,ham
Security alert: Unusual login detected. Confirm your identity at https://win6537.org,spam
Quick cash! Online opportunity. $1000 immediate payment: https://verify6875.net,spam
Natural health supplements. 30 day trial: https://claimnow2700.net,spam
Game night this Saturday! Bring your favorite board games.,ham
You are the lucky winner of our annual giveaway! Claim $5000 now at https://prize5775.biz,spam
Can you review the marketing document before tomorrow?,ham
Hot singles in your area are interested! Chat now: https://prize3828.io,spam
Thanks for the gift! It was really thoughtful of you.,ham
Your magazine subscription renewal is due on Friday.,ham
Security alert: Unusual login detected. Confirm your identity at https://claim985.biz,spam
"Hey John, how are you doing? Let's catch up soon!",ham
"Hey John, how are you doing? Let's catch up soon!",ham
"International lottery - You've won $1,000,000! Claim: https://win3407.io",spam
Security alert: Unusual login detected. Confirm your identity at https://win9910.info,spam
Grandpa's 80th birthday is next month. What should we get him?,ham
Your consultation has been rescheduled to Wednesday.,ham
Security alert: Unusual login detected. Confirm your identity at https://claim4187.com,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
CONGRATULATIONS! You've won $1000 in the Mega lottery! Click here to claim your prize now: https://account1376.org,spam
Client called about the proposal - please call them back.,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
FDA approved weight loss pills. 70% off today: https://login5126.biz,spam
Your profile has been successfully updated.,ham
Quick cash! Online opportunity. $1000 immediate payment: https://secure6287.co,spam
Become a product tester. Earn $50/hour. Sign up: https://prize701.io,spam
Please arrive 15 minutes early for your hair appointment.,ham
Family reunion planning: Can you bring desserts?,ham
Your profile has been successfully updated.,ham
Game night this Saturday! Bring your favorite board games.,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Lonely women seeking connection. Message now: https://login6213.io,spam
Your Netflix password expires today. Update immediately: https://account3263.com,spam
Make money online! Easy system. Start now: https://win5041.info,spam
Don't forget about Sarah's birthday party this Saturday!,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Your ticket #12345 won $5000 in the weekly draw! https://login6573.info,spam
Want to grab lunch at our usual place?,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Work from home! Earn $500/day. No experience needed: https://update8040.info,spam
Meeting reminder: Project review at 2pm in conference room B.,ham
Sale alert: 30% off on winter clothing this weekend only!,ham
Quick cash! Online opportunity. $1000 immediate payment: https://account3290.com,spam
Thanks for your purchase! Here's 15% off your next order.,ham
Can you review the marketing document before tomorrow?,ham
Your profile has been successfully updated.,ham
"Hey John, how are you doing? Let's catch up soon!",ham
Quick cash! Online opportunity. $1000 immediate payment: https://account7020.info,spam
Thanks for the gift! It was really thoughtful of you.,ham
CONGRATULATIONS! You've won $1000 in the Mega lottery! Click here to claim your prize now: https://claimnow2228.io,spam
Your Netflix password expires today. Update immediately: https://verify7788.net,spam
Want to grab lunch at our usual place?,ham
Your consultation has been rescheduled to Wednesday.,ham
Please arrive 15 minutes early for your hair appointment.,ham
Can you review the marketing document before tomorrow?,ham
"You're our 1,000,000th visitor! Click to spin the prize wheel! https://update123.info",spam
Meeting reminder: Project review at 2pm in conference room B.,ham
Meeting reminder: Project review at 2pm in conference room B.,ham
Family reunion planning: Can you bring desserts?,ham
Suspicious activity on your Amazon account. Please verify details: https://claimnow221.co,spam
Just saw your favorite band and thought of you! How have you been?,ham
Grandpa's 80th birthday is next month. What should we get him?,ham
Security alert: Unusual login detected. Confirm your identity at https://claimnow6666.com,spam
Congratulations! Your email won $500 in the weekly sweepstakes. Claim at: https://claim2573.co,spam
Your ticket #12345 won $5000 in the weekly draw! https://prize6929.biz,spam
Security alert: Unusual login detected. Confirm your identity at https://login9231.net,spam
Can you pick up milk from the store on your way home?,ham
Want to grab lunch at our usual place?,ham
Security alert: Unusual login detected. Confirm your identity at https://update7011.biz,spam
Reminder: Annual check-up tomorrow at 11am.,ham
Grandpa's 80th birthday is next month. What should we get him?,ham
Your order #1234567 has been shipped! Expected delivery: tomorrow,ham
Suspicious activity on your Amazon account. Please verify details: https://win4195.org,spam
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Become a product tester. Earn $50/hour. Sign up: https://confirm4402.org,spam
Meeting reminder: Project review at 2pm in conference room B.,ham
Enhance your performance with natural supplements. 50% discount: https://secure1677.org,spam
Great job on the sales presentation! Everyone loved it.,ham
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Your bank statement is now available online.,ham
Just saw your favorite band and thought of you! How have you been?,ham
Congratulations! Your email won $500 in the weekly sweepstakes. Claim at: https://claim756.io,spam
Find love today! 1000+ members online near you: https://secure4442.co,spam
Thanks for your purchase! Here's 15% off your next order.,ham
Lonely women seeking connection. Message now: https://claim718.co,spam
New message from David on your social media account.,ham
Your magazine subscription renewal is due on Friday.,ham
FDA approved weight loss pills. 70% off today: https://prize4913.net,spam
New message from David on your social media account.,ham
Road trip to the beach this weekend? I'll drive!,ham
Road trip to the beach this weekend? I'll drive!,ham
Crypto millionaire reveals secret! Earn 300% monthly: https://account7698.info,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Concert tickets for next month are on sale now!,ham
Weather alert: heavy rain expected in your area tonight.,ham
You're our lucky winner! $1000 prize waiting. Click https://claimnow1071.io within 24 hours!,spam
Don't forget about Sarah's birthday party this Saturday!,ham
Can you pick up milk from the store on your way home?,ham
Find love today! 1000+ members online near you: https://secure3364.org,spam
Find love today! 1000+ members online near you: https://claim842.com,spam
Meeting reminder: Project review at 2pm in conference room B.,ham
Grandpa's 80th birthday is next month. What should we get him?,ham
Reminder: Annual check-up tomorrow at 11am.,ham
Your perfect match is waiting! Sign up free: https://update2698.biz,spam
Reminder: Annual check-up tomorrow at 11am.,ham
You are the lucky winner of our annual giveaway! Claim $5000 now at https://verify8554.org,spam
Mom asked if you're coming for Thanksgiving dinner this Sunday.,ham
Can you pick up milk from the store on your way home?,ham
Your dentist appointment is confirmed for Monday at 2:30pm.,ham
Weather alert: heavy rain expected in your area tonight.,ham
Your ticket #12345 won $5000 in the weekly draw! https://verify9923.info,spam
Your perfect match is waiting! Sign up free: https://account6957.io,spam
Please arrive 15 minutes early for your hair appointment.,ham
Your package from Amazon will arrive by tomorrow.,ham
Road trip to the beach this weekend? I'll drive!,ham
Client called about the proposal - please call them back.,ham
Want to grab lunch at our usual place?,ham
Forex trading signal - 95% accuracy. Start with $250: https://claim5558.org,spam
Hot singles in your area are interested! Chat now: https://claim1673.net,spam
Natural health supplements. 30 day trial: https://win6600.net,spam
Weather alert: heavy rain expected in your area tonight.,ham
Make money online! Easy system. Start now: https://claimnow4206.biz,spam
Game night this Saturday! Bring your favorite board games.,ham
FDA approved weight loss pills. 70% off today: https://confirm3695.net,spam
